x,MT,Troy Jackson,RM,GLA,VW,ET,JP,AS,JS,EB,GLI,CR,SB,OD,MR,CM,BR,WT
MT,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Troy Jackson,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RM,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ET,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
JP,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EB,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0
GLI,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
CR,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
SB,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OD,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0
MR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
