,CM,RT,Troy Jackson,AS,GL,BR,OD,SB,JP,MR,RM,CR,ET,VW,GL,JS,EB,WT
CM,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
RT,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Troy Jackson,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1
OD,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0
SB,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
JP,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
MR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1
ET,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0
VW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
JS,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0
EB,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0
WT,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0
