Name,Short Name,Org,Shape,Shape1,eigen_2013,eigen_2016,difference
Troy Jackson,Troy Jackson,AMOS,circle,circle,0.466339258,1,0.533660742
GLI,GLI,Business/Policy,diamond,square,1,0.916402518,-0.083597482
CR,CRO,Business/Policy,diamond,square,0.514813216,0.887193711,0.372380494
OD,ODA,United Way/CPP,diamond,square,0.766503649,0.857668153,0.091164504
BR,BRH,United Way/CPP,diamond,square,0.144093787,0.852203121,0.708109333
ET,PET,AMOS,circle,circle,0.506084992,0.844391983,0.33830699
SB,SBY,United Way/CPP,diamond,square,0.549617997,0.751729005,0.202111008
GLA,GLA,United Way/CPP,diamond,square,0.560519584,0.737058753,0.17653917
WT,WTH,AMOS,circle,circle,0.08076739,0.685775221,0.605007831
AS,ASE,Business/Policy,diamond,square,0.457244399,0.621984256,0.164739856
EB,EBO,CPS,circle,circle,0.710614339,0.609934634,-0.100679705
CM,CMI,AMOS,circle,circle,0.144093787,0.602439524,0.458345736
JP,JPE,Business/Policy,diamond,square,0.696123603,0.573941226,-0.122182377
VW,VWH,CPS,circle,circle,0.568734369,0.53871911,-0.03001526
JS,JSE,CPS,circle,circle,0.346795985,0.535247209,0.188451223
RM,RME,Business/Policy,diamond,square,0.261856593,0.440224282,0.178367689
MR,MRO,CPS,circle,circle,0.246488899,0.427951132,0.181462233
MT,RMT,AMOS,circle,circle,0.267646977,0.335662849,0.068015871
